x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma,total
1.024,1.2369616113644587e-10,4.569266951058876e-09,1.3932755140553614e-10,1.3387735780511785e-09,6.896445840137343e-09,1.5337375329562425e-08,9.087090796110729e-09,6.250284533451694e-09,1.8827963735479335e-09,2.5848639384206117e-08
1.274,1.7020281738496252e-10,3.6401575371630242e-09,2.220992459164648e-10,1.557217463460613e-09,5.36712224153943e-09,1.4854414975915535e-08,8.718221754434713e-09,6.136193221480825e-09,2.1830691891660505e-09,2.4410008852389326e-08
1.524,2.8217668460044144e-10,4.738761633327716e-09,2.5332318991827513e-10,1.6063014012522794e-09,6.143953265067306e-09,1.5649614391007664e-08,1.0138019259666072e-08,5.511595131341593e-09,2.4318885727973453e-09,2.629143696286041e-08
1.774,3.6465349730559864e-10,7.802330055420962e-09,1.7134114397263398e-10,1.4697559499021268e-09,9.474510749227512e-09,1.6043963286870703e-08,1.1018936567135547e-08,5.025026719735153e-09,2.519905842004718e-09,2.991191924543537e-08
2.024,3.4743899866536474e-10,1.245530841772666e-08,9.190971496172311e-11,1.152160729150814e-09,1.3234748335409731e-08,1.4245826775149612e-08,9.710747635128341e-09,4.535079140021269e-09,2.4380789597169415e-09,3.137265697065249e-08
2.274,2.3601918863963054e-10,1.578699127905256e-08,6.084550127432515e-11,7.349168625189421e-10,1.4754092047760307e-08,1.1444073929144232e-08,7.39633372973045e-09,4.047740199413781e-09,2.3125233685793104e-09,2.9463911209255228e-08
2.524,1.6441061628637696e-10,1.444128979519235e-08,7.590373293029971e-11,4.283527483978286e-10,1.2739078502589546e-08,9.816647659447915e-09,5.9586828467592085e-09,3.857964812688707e-09,2.2163218899515136e-09,2.5424287900499155e-08
2.774,1.9401291239284556e-10,1.0540182550085886e-08,1.0887516994829414e-10,4.084244819639982e-10,9.4340044467125e-09,9.611792415755377e-09,6.088343369481248e-09,3.5234490462741316e-09,2.2141877874185423e-09,2.194041287554939e-08
3.024,2.6434612643996726e-10,9.322936372349362e-09,1.2894869884069945e-10,6.226954258289561e-10,7.914191010028025e-09,1.0953440055488894e-08,8.017409025426819e-09,2.9360310300620717e-09,2.157936813673435e-09,2.194774458299695e-08
3.274,3.3869781915376837e-10,1.0607285258821795e-08,1.7063645516608656e-10,7.612843407589208e-10,8.067988838145842e-09,1.299739092084181e-08,1.0390412119800412e-08,2.6069788010413936e-09,1.8792736558475137e-09,2.403809826238197e-08
3.524,4.761201081228574e-10,1.004780284806974e-08,3.0864938446701787e-10,7.09167385003136e-10,7.32145226482507e-09,1.3675967839001696e-08,1.1152897337514051e-08,2.5230705014876428e-09,1.5886647693428436e-09,2.3769709223472458e-08
3.774,5.813167434833459e-10,6.717042045015071e-09,4.503457411276996e-10,5.669012649788367e-10,5.547887326191228e-09,1.1833576271377871e-08,9.672090983089267e-09,2.1614852882886043e-09,1.6336296904335257e-09,2.020578222374936e-08
4.024,5.453357548962808e-10,3.896955666796791e-09,4.495264646167706e-10,4.918483426015836e-10,4.71131097430013e-09,9.39631788680074e-09,7.592547919947477e-09,1.803769966853266e-09,1.8926969097935882e-09,1.7137444520694422e-08
4.274,4.1491742722953786e-10,3.040186258736626e-09,3.5723952758901276e-10,5.278056393810742e-10,5.0999761406567626e-09,9.433558747257436e-09,7.105886768846146e-09,2.3276719784112878e-09,1.931658642735253e-09,1.7555944011503972e-08
4.524,3.561258100411425e-10,2.6642210653029597e-09,3.169052478671494e-10,7.146182116395513e-10,5.4612317658070165e-09,1.2414132370445294e-08,8.984063815358756e-09,3.4300685550865415e-09,1.7325867554291254e-09,2.0818296255041233e-08
4.774,5.065112006343122e-10,3.4420672441460224e-09,3.3936702561280323e-10,1.0633330634295875e-09,5.323909153710553e-09,1.592579166783264e-08,1.1897254277935113e-08,4.028537389897529e-09,1.6423350210198065e-09,2.4499554701568864e-08
5.024,7.403272665552508e-10,6.864361948437468e-09,3.376699043662461e-10,1.2926636849258223e-09,5.682583023175611e-09,1.7871715458058128e-08,1.3794273414231562e-08,4.0774420438265635e-09,1.8395893362767236e-09,2.727622574138043e-08
5.274,8.259835477576249e-10,1.0863035792844209e-08,2.948378664974223e-10,1.2356568400464754e-09,6.867298085162895e-09,1.848918935447247e-08,1.4379268533671079e-08,4.109920820801394e-09,2.0988550059131142e-09,2.9206127622468417e-08
5.524,7.373150630106868e-10,1.1705329546848777e-08,2.0661794061604706e-10,1.0442256897110814e-09,7.206910747549453e-09,1.8676048529234593e-08,1.4318218748825111e-08,4.357829780409482e-09,2.1077460439125312e-09,2.941802012078066e-08
5.774,5.895047702397472e-10,8.955630066774991e-09,1.5221393227353785e-10,9.684337809329154e-10,5.654841883687472e-09,1.777306459905227e-08,1.286027754116722e-08,4.912787057885046e-09,1.914009473861822e-09,2.668382720059234e-08
6.024,4.714596108697099e-10,5.594087041778189e-09,2.250018159608097e-10,1.1546681632930782e-09,3.4673713708849975e-09,1.5867894344147564e-08,1.0039799873031649e-08,5.828094471115916e-09,1.7530719691871308e-09,2.2753933369140762e-08
6.274,3.929428169146965e-10,5.186607664669692e-09,3.1235426532215783e-10,1.459541106454903e-09,3.5109801471117945e-09,1.4552791056559074e-08,8.135669846236117e-09,6.417121210322955e-09,1.7832859340157375e-09,2.1989071918652232e-08
6.524,3.174329674858537e-10,9.772150336085815e-09,3.412739228445062e-10,1.6115573444350907e-09,7.65188204306909e-09,1.4666335370349282e-08,8.549177354685492e-09,6.117158015663787e-09,2.007403569640236e-09,2.6647694741076156e-08
6.774,2.906743581659536e-10,1.522732673706881e-08,3.700261811178428e-10,1.540634904368646e-09,1.2491585262315607e-08,1.534038906929364e-08,9.648194880189518e-09,5.692194189104119e-09,2.2137020678657965e-09,3.2191938698215454e-08
7.024,2.719626685722723e-10,1.520782310544804e-08,2.872140572309851e-10,1.3022211711493934e-09,1.311618544408168e-08,1.4747610659734061e-08,9.07851911431548e-09,5.669091545418579e-09,2.229535201618341e-09,3.2004618839978405e-08
7.274,2.418290476625348e-10,9.847442675067199e-09,2.0151446041142656e-10,1.0438096202406948e-09,9.104787559239388e-09,1.2764914656469183e-08,7.428638247764026e-09,5.336276408705157e-09,2.2415904763313597e-09,2.575785105277048e-08
7.524,2.205514385322383e-10,4.8002447198119975e-09,1.9568943121327271e-10,9.259388315445399e-10,4.701168783572662e-09,1.0958325762326508e-08,6.8162505924537025e-09,4.1420751698728065e-09,2.4425604079525653e-09,1.945496729084694e-08
7.774,2.296837263235049e-10,2.724897805017694e-09,1.6362367306446089e-10,1.0030899769975513e-09,2.6542377599969288e-09,1.0983666956455283e-08,7.802482205162172e-09,3.1811847512931098e-09,2.6535990060587515e-09,1.765556801089268e-08
8.024,2.598253035159418e-10,2.062065059657664e-09,1.095203842223515e-10,1.300068537789024e-09,2.1667930197199513e-09,1.2379935452733876e-08,8.57083186241834e-09,3.80910359031553e-09,2.6959774105128117e-09,1.8913840975169516e-08
8.274,3.295001427546234e-10,2.6216876521320195e-09,1.0275998543046695e-10,1.7449050133604138e-09,3.2865885519626604e-09,1.3474307806674647e-08,8.069069241208326e-09,5.4052385654663205e-09,2.5580835219826604e-09,2.1403737272876296e-08
8.524,4.341368872338641e-10,4.743322520836588e-09,1.6449165999610258e-10,2.0165331024045396e-09,6.700537207512641e-09,1.3044193061572327e-08,7.022065210970722e-09,6.022127850601604e-09,2.25042102091494e-09,2.4460276896698013e-08
8.774,4.680413202506569e-10,7.298131459555892e-09,2.6889057350636733e-10,1.7814341248042731e-09,1.195831816949128e-08,1.1206758331824058e-08,6.263791051656595e-09,4.942967280167465e-09,1.902312853718796e-09,2.7391193498900575e-08
9.024,3.649314686443164e-10,9.60801788121965e-09,3.247114864409834e-10,1.3554321813756261e-09,1.7324399817878323e-08,9.189857493688429e-09,5.808171895276625e-09,3.3816855984118045e-09,1.684596753603296e-09,3.00693970687157e-08
9.274,2.427760139434627e-10,1.3005877894714139e-08,2.2521965287091143e-10,1.1855876447717544e-09,2.0497840417511455e-08,8.29638683869178e-09,5.816417110395452e-09,2.4799697282963263e-09,1.558235972721244e-09,3.205666306381405e-08
9.524,2.3373639740560483e-10,1.6731991935035615e-08,1.861192287507785e-10,1.1304809188683453e-09,1.918049368310487e-08,9.628447951920473e-09,7.277756743531681e-09,2.3506912083887945e-09,1.4888554603133151e-09,3.192186819651819e-08
9.774,3.3883526918173046e-10,1.679665915070767e-08,2.2686106610301507e-10,9.532777313349455e-10,1.3768340520158298e-08,1.1760266985397633e-08,9.309437534378026e-09,2.4508294510196103e-09,1.5998170891576684e-09,2.8552235987350902e-08
10.024,4.200649421676124e-10,1.1485995651375271e-08,2.3765133411633557e-10,7.033433405383181e-10,8.328425701934407e-09,1.1811460390650345e-08,9.43150986566181e-09,2.3799505249885344e-09,1.90505455140904e-09,2.325531488155539e-08
10.274,3.881068224668301e-10,5.2363542829955656e-09,2.059975953455185e-10,6.278050540078381e-10,6.19054943795722e-09,9.624015293108084e-09,7.25570285301523e-09,2.3683124400928516e-09,2.175433915844629e-09,1.907688120864359e-08
