x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma
1.024,0.0047854031811061576,0.17677011478796684,0.005390130959491324,0.05179280650528894,0.26680111620695857,0.5933532942137673,0.35155006269548833,0.2418032315182789,0.07283928355232301
1.274,0.006972665123318976,0.14912561315219328,0.009098695836594301,0.06379421953008378,0.21987383429457788,0.6085378774642083,0.3571576645938556,0.2513802128703528,0.08943336327190086
1.524,0.010732645956135739,0.18023973509024047,0.009635197584526188,0.061095991197489874,0.2336864764655628,0.5952361756839115,0.38560156578688176,0.20963460989702984,0.0924973624010228
1.774,0.012190909393460122,0.2608435116249392,0.005728189574421276,0.049136129910032945,0.31674700213940116,0.536373582558366,0.3683794569222456,0.16799412563612026,0.0842442045035028
2.024,0.011074579975498284,0.3970115897221571,0.0029296120837868445,0.036724996873188046,0.42185615160966944,0.45408416598172896,0.3095290157990841,0.14455515018264478,0.07771349943352389
2.274,0.00801045003711157,0.5358077265075907,0.002065085685406638,0.024942949946444633,0.5007513070133656,0.38840987022623835,0.2510302748742708,0.13737959535196745,0.07848663920263575
2.524,0.006466675366870318,0.5680115742753536,0.002985481175612769,0.01684817093301633,0.501059402428315,0.38611298368970975,0.23436970467291718,0.15174327901679258,0.08717341066248706
2.774,0.008842719300376313,0.48040037395248697,0.004962311810896945,0.018615168469283933,0.42998299531663997,0.4380862142510934,0.27749447578838216,0.16059173846271133,0.10091823704402823
3.024,0.012044341296224023,0.42477878932361446,0.005875259681151784,0.028371727376095036,0.3605924508598117,0.4990690507659083,0.36529534937443886,0.1337737013914693,0.09832157493509386
3.274,0.01409004220952903,0.4412697353609496,0.007098583810730207,0.03166990718023149,0.33563340785455187,0.5406996335139317,0.43224767643373513,0.10845195708019642,0.07817896554605787
3.524,0.0200305398625866,0.42271458828564845,0.012984987808021996,0.029834920500535073,0.3080160634693493,0.5753527613832462,0.4692063008705477,0.10614646051269842,0.066835683785902
3.774,0.028769821284131285,0.33243167577645333,0.02228796371953246,0.02805638795376679,0.2745692923320921,0.5856529650937734,0.4786793639555779,0.10697360113819547,0.0808496138552557
4.024,0.03182129950808928,0.22739421050151315,0.026230659073699248,0.028700215017918758,0.2749132735986955,0.548291658972501,0.4430385120009609,0.10525314697154017,0.11044219034571058
4.274,0.02363401403864428,0.17317133483363056,0.020348636755444346,0.03006421295461049,0.29049854210715614,0.5373427222754789,0.4047567458742085,0.13258597640127026,0.11002875387785957
