x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma,total
1.024,7.961704698110856e-10,1.1412073718023112e-06,5.939935848889798e-10,1.460735411814884e-09,2.3308105408198134e-06,9.792428396809887e-09,8.488831489991058e-09,1.3035969068188298e-09,7.892254161015352e-10,2.343537311241305e-06
1.274,8.373811565754628e-10,1.0799639001576933e-06,5.50267223688668e-10,1.8647440093270623e-09,2.5145387314469444e-06,1.1356545980854052e-08,9.461359793038964e-09,1.8951861878150873e-09,8.205853162164748e-10,2.529319531310141e-06
1.524,8.232640773176111e-10,1.0381799927312682e-06,5.013832366672813e-10,1.7553157413910537e-09,2.4679655103174548e-06,1.575935043737939e-08,1.3213868415794227e-08,2.5454820215851586e-09,9.306248491539058e-10,2.48721033045081e-06
1.774,7.030384006205633e-10,9.517370523660644e-07,5.279460120084268e-10,1.1806072444148054e-09,2.147029106671969e-06,1.887594044178475e-08,1.6232505706963683e-08,2.643434734821071e-09,1.065953665067022e-09,2.1689483840309847e-06
2.024,5.182111744136587e-10,8.197520894772514e-07,4.931127482982435e-10,9.729084568651946e-10,1.7540587960940091e-06,1.782755638119333e-08,1.5430629654849842e-08,2.396926726343485e-09,1.1373177239126558e-09,1.7746741507015203e-06
2.274,3.660591892578132e-10,7.609303465666508e-07,3.6214614616681976e-10,1.2198529708934951e-09,1.651237623608085e-06,1.292671072585777e-08,1.0646017126471578e-08,2.2806935993861937e-09,1.2010078547485568e-09,1.6670924497764134e-06
2.524,2.2926495007772227e-10,7.894106229404684e-07,2.0696182411019547e-10,1.5482600000624345e-09,1.8750327126310488e-06,9.034899009065412e-09,6.672586909990202e-09,2.362312099075213e-09,1.274094783541808e-09,1.88725822233366e-06
2.774,1.929736283856195e-10,8.165011123912691e-07,1.5307598869900426e-10,1.6919547972674746e-09,2.096457578487024e-06,9.927254441552273e-09,7.41881846295626e-09,2.508435978596016e-09,1.2819317199155496e-09,2.1096707100174977e-06
3.024,2.1788099996326236e-10,8.143016558440991e-07,1.8691194182065843e-10,1.9864953767217255e-09,2.102599228945473e-06,1.2342200061611558e-08,9.550931815051298e-09,2.791268246560258e-09,1.232958978084224e-09,2.118465547831469e-06
3.274,2.0738866668108988e-10,8.22058659917247e-07,1.458820208043899e-10,2.5860460629652473e-09,1.995999448941248e-06,1.2381005611434163e-08,9.238518860599597e-09,3.142486750834567e-09,1.209557983949733e-09,2.012474191285002e-06
3.524,1.7609043800236834e-10,8.203585402812653e-07,1.1731176215076111e-10,2.481278708728309e-09,1.932123465538613e-06,1.0260401067684323e-08,6.889524157647175e-09,3.370876910037146e-09,1.2008293882970172e-09,1.946398728753367e-06
3.774,2.0270542076093633e-10,7.722563107584559e-07,2.2848079234093625e-10,1.4335533860944108e-09,1.979467000970838e-06,8.465962604505046e-09,4.895276093914353e-09,3.570686510590695e-09,1.1387112698074183e-09,1.9909394551532295e-06
4.024,2.790390984568413e-10,7.608514676075213e-07,3.6185962384396506e-10,8.181400419532774e-10,2.2887632244877923e-06,8.433169229303248e-09,4.43919619112782e-09,3.993973038175428e-09,1.0886476060337985e-09,2.299719785537633e-06
4.274,3.278284040464858e-10,8.31917865057374e-07,3.5524902123639e-10,9.39606507836206e-10,2.9341518748305517e-06,9.81026397153105e-09,5.412326391288543e-09,4.397937580242508e-09,1.1998540800511108e-09,2.9469156415062635e-06
4.524,4.046976247789078e-10,8.7730572645689e-07,3.1456669770945475e-10,1.2031823211236522e-09,3.585897029739627e-06,1.0830124194591274e-08,6.626030526303649e-09,4.204093668287624e-09,1.3948899420531792e-09,3.600151414715715e-06
