x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma
1.024,0.00033973023002112,0.48695933550033654,0.00025346026369614674,0.0006233036721063229,0.9945694184767425,0.004178481968193251,0.003622230142986188,0.0005562518252070635,0.00033676673817644706
1.274,0.00033106973880113705,0.42697804163884817,0.00021755544006084502,0.0007372512591800369,0.9941562148711435,0.0044899609718237424,0.0037406739939014957,0.000749286977922246,0.00032442928070516527
1.524,0.00033099897794666743,0.41740739816849215,0.0002015845747055919,0.000705736752497687,0.9922624878572825,0.0063361551069639485,0.005312726573228408,0.0010234285337355393,0.000374164113810684
1.774,0.0003241379120852882,0.43880115330235,0.0002434110538984983,0.0005443224251471812,0.9898940530256977,0.008702807582125983,0.007484044261484736,0.0012187633206412476,0.000491461056849103
2.024,0.000292003562574466,0.4619169604477573,0.0002778610079508502,0.000548218080756182,0.9883835832063244,0.010045537866287275,0.008694908667458862,0.0013506291988284109,0.0006408600268748376
2.274,0.00021957941763032292,0.45644160086544994,0.0002172321914212916,0.0007317248488871143,0.9904895339364923,0.007754045510548303,0.006385978850722645,0.0013680666598256594,0.0007204206670779615
2.524,0.00012148043514375486,0.41828437338285107,0.00010966269568256538,0.0008203752839650939,0.9935220789831855,0.004787314688656355,0.003535598272153409,0.0012517164165029482,0.0006751035806675918
2.774,9.147097102372862e-05,0.38702775201562,7.255918564548617e-05,0.0008019994728245724,0.9937368749218857,0.0047055942874942485,0.003516576510129739,0.0011890177773645114,0.0006076454082755489
3.024,0.00010284849814352304,0.38438277019781847,8.822987091387333e-05,0.00093770483015651,0.9925104664070478,0.005826009336920981,0.004508419702566296,0.0013175896343546828,0.000582005678282718
3.274,0.00010305159071315513,0.40848159120607025,7.24888902606207e-05,0.001285008311740887,0.991813687641264,0.006152131373932633,0.004590627249088165,0.0015615041248444688,0.0006010303084569785
3.524,9.046986899500858e-05,0.42147506991370165,6.027118720217063e-05,0.0012748049369707116,0.9926658073683099,0.005271479536084533,0.0035396263139052656,0.0017318532221792663,0.0006169493282941705
3.774,0.00010181395533463644,0.3878853818279574,0.00011476029155459757,0.0007200386643520908,0.9942376679749366,0.004252245131107454,0.0024587769764890196,0.001793468154618435,0.0005719467093085356
4.024,0.00012133612982401115,0.3308452935841694,0.00015734944149265945,0.00035575640436646115,0.9952356973581113,0.0036670420815341754,0.0019303204760183496,0.0017367216055158257,0.00047338271944261784
4.274,0.00011124458380455104,0.28230121464629165,0.0001205494369207022,0.0003188440465014271,0.9956687709359784,0.003328993824375885,0.0018366071682059174,0.0014923866561699678,0.0004071558965419949
4.524,0.00011241127890474147,0.24368578578969746,8.737596325078301e-05,0.000334203254953559,0.9960406151480677,0.003008241306274745,0.001840486624873491,0.0011677546814012542,0.000387453132207587
4.774,0.00013456915229604792,0.22189731394757758,0.0001075014315655686,0.00029302531168135405,0.9963143721555506,0.0028176085122612526,0.0019119090367475046,0.0009056994755137485,0.0003792446393879217
5.024,0.0001580665988442349,0.2244193912693646,0.00016234072294529984,0.0002294166510652977,0.9964591440620818,0.002707342440591655,0.0019174672366246267,0.0007898752039670286,0.00038113858748620855
5.274,0.00015093584191640003,0.23942978012756239,0.00023779956649289826,0.00017381059150075427,0.9962316330063933,0.0028996404595708672,0.0020833206173726066,0.0008163198421982614,0.0004154620161150957
5.524,0.00010894382249282523,0.24559030262049872,0.00024359027621575108,0.00021660723568393936,0.995664661167029,0.003351873154828843,0.002456863518976634,0.0008950096358522091,0.0004590980329588101
5.774,7.241818740471882e-05,0.25396353703594277,0.0001491020936448338,0.0003124508362384789,0.9945650825038985,0.004285817954391777,0.0033077018761804204,0.0009781160782113573,0.0004784966033020611
6.024,7.38330499813386e-05,0.27574755688532326,0.00010344663199771502,0.00039686485631437913,0.9930466135316744,0.005610211370793688,0.004544224668349708,0.0010659867024439766,0.0005134546898525005
6.274,9.393161412254471e-05,0.25818176925415937,0.00011134707579894639,0.0006081580252121308,0.9919826390615905,0.006531815977533911,0.005346406751052797,0.0011854092264811152,0.0005514967185508191
6.524,0.000140791055539725,0.16875639692394986,9.249934996549748e-05,0.0008979622123869974,0.9925354257663813,0.005945117062529598,0.004556845979520184,0.0013882710830094163,0.0004852042247247132
6.774,0.0001825955824437473,0.08001189969199525,4.1262422824928606e-05,0.0010590877078129788,0.9942004445095557,0.00429722760526986,0.0027610850716017314,0.0015361425336681291,0.00035921439030489757
7.024,0.00016866833294853543,0.0267302699831374,4.181516135896575e-05,0.0011979294094930065,0.9950236591119057,0.003426381729232872,0.0017574861464991836,0.0016688955827336884,0.00026487232746115567
7.274,0.00011231999849567478,0.005581086839455432,5.9269139956637586e-05,0.0011780562826852327,0.9950164591362052,0.003477672834886726,0.0014472860447762358,0.002030386790110491,0.00022746501677190474
7.524,6.522007774592732e-05,0.002567490249184613,6.983513670622205e-05,0.0010502327801936238,0.9943578877735263,0.004217033802061407,0.0015030128110649493,0.002714020990996457,0.00024483481276212825
7.774,0.00010801815489811763,0.004020779964418571,0.0001140694519547184,0.0007459495410023213,0.9938074320511439,0.004989416970762563,0.0014983256491955112,0.0034910913215670525,0.00030222610973578557
8.024,0.00021341906424134682,0.005392235443477994,0.00015902679183038803,0.0007854814038258662,0.9930186882789154,0.005634708632477636,0.001373320881972903,0.004261387750504733,0.0003547348638985098
8.274,0.00033914886368332305,0.003874288398715118,0.0002234507926335461,0.0010258470176425839,0.9918351163786596,0.006537582861538736,0.0017843894961830512,0.004753193365355684,0.00035419234543272303
8.524,0.00038489364869903966,0.002252113441003345,0.0002763750929180302,0.0015044405890572551,0.9903164385504386,0.007541765758457435,0.003455817732532413,0.004085948025925023,0.0003047130095431312
8.774,0.00029896310176113973,0.0025236540785091846,0.000258996714762472,0.00163165864017486,0.988862724994745,0.008866059621028164,0.0064997165998085535,0.0023663430212196115,0.0002504441064144327
9.024,0.00023274424982736545,0.002517997819503133,0.00029910193370862606,0.010823147943650979,0.9765414507419011,0.012112482713844007,0.010930522968096996,0.001181959745747012,0.00020292395049202928
9.274,0.008069662786868471,0.006190167699234655,0.0032353701090610727,0.10099054304653365,0.8715478799717871,0.02250125915226399,0.02170704763627668,0.0007942115159873051,0.00016376790884936926
9.524,0.08010897690977972,0.020243496369659744,0.01722078610664015,0.34083955050081133,0.5960658659018112,0.03620093615065135,0.03542016640192897,0.000780769748722371,0.00015702300248664704
9.774,0.2594967000238299,0.032651192027665775,0.0341244296229694,0.5885595585527377,0.3153927784422847,0.04419960481699288,0.043296219825758084,0.0009033849912347783,0.00016085355906021644
10.024,0.48104865871929564,0.040409582665043624,0.03822435977326319,0.7338282874560511,0.16559730424435326,0.04757390011819524,0.046643118649702116,0.0009307814684931499,0.0001481741759443083
10.274,0.6696287759335751,0.04476267309174376,0.027822473881762563,0.8067111361351872,0.11047809265595318,0.049122103849012284,0.048255659049411016,0.0008664447996012737,0.000120332685048483
10.524,0.778759304956943,0.04560532811864388,0.012510262989031098,0.8424318203298543,0.0943445078849101,0.049914239766885436,0.04911835335229575,0.0007958864145896803,9.320932224636022e-05
10.774,0.8127364463590282,0.04452643531975191,0.004657132288721315,0.8576314538017886,0.08818969877640898,0.04941763559468265,0.04867814602406388,0.0007394895706187776,8.251649146940251e-05
11.024,0.8243539390279322,0.04271438007340835,0.0057225618858738935,0.8614183932980023,0.0849145587808711,0.047812066821861905,0.04711470397090245,0.00069736285095945,8.872635034580681e-05
11.274,0.8374029330068865,0.04081197725849301,0.010863325526723295,0.8596549672980272,0.08303559252692398,0.04630280550675062,0.04562538033894578,0.0006774251678048509,9.686340285957656e-05
11.524,0.8481933353090014,0.0398156708485442,0.01672025247001943,0.8555824406835787,0.08174545326814774,0.045820676959251204,0.04512904352482467,0.0006916334344265362,0.00010042105815831201
11.774,0.8570659979138993,0.0396493050972644,0.022241333617441256,0.8510818935931369,0.08051700063137819,0.04605043645440886,0.04534268379079144,0.0007077526636173975,0.00010338696419220002
12.024,0.8653359121876196,0.03912492455857301,0.028839235791448533,0.8461835389917303,0.07920324237073471,0.04564388993186104,0.04493831591129672,0.0007055740205643186,0.00011081332181379775
12.274,0.8713198368945242,0.037502108202302875,0.03917638121157995,0.8380716711070293,0.07846371134387176,0.04411038740988224,0.04340427196654117,0.0007061154433410801,0.00012356669560488633
12.524,0.8730008928204508,0.03518696859011861,0.05206755017258354,0.8262300843649867,0.07937225612479126,0.04209477734853799,0.04139388686660838,0.0007008904819296101,0.00013637996585965604
12.774,0.8728663591840184,0.032728790646354575,0.06788174564680036,0.8097543983906861,0.08211978134356676,0.039995243416326244,0.039342446832614245,0.0006527965837120063,0.00014936205690788956
13.024,0.8746583212607351,0.030781620642129196,0.08482251221981299,0.7920036468117387,0.08485614706645471,0.038077102811720116,0.0375123012038924,0.0005648016078277052,0.00016416230796683596
13.274,0.8775260552144148,0.029766707441947038,0.09193082914612334,0.7863862389077483,0.0845248431611378,0.03693366206651482,0.03642643372513411,0.0005072283413807138,0.00017455126209763646
13.524,0.8798558013548653,0.02943027435625395,0.08673706537244845,0.7951272704379858,0.08109906329501186,0.036797250097248886,0.036273702707200046,0.0005235473900488456,0.00016885349390004988
13.774,0.8810843297346864,0.029106189239259173,0.08666213251088938,0.797166142251262,0.07944989715835159,0.03641631732187841,0.03585760681860443,0.000558710503273977,0.00015597530207293208
14.024,0.8810943937942437,0.028369658451413506,0.10254396018116725,0.7801656667112453,0.0820750436967225,0.03491283013203157,0.034360300868672033,0.0005525292633595352,0.00015886738116849432
14.274,0.8807902220539485,0.02724100755147892,0.11932102925928953,0.7621003812223767,0.08528986127702048,0.03307595506786945,0.03254404106141232,0.0005319140064571291,0.00017148849461205037
14.524,0.8793937185674049,0.025757258182076,0.13396242779533554,0.7471527212985479,0.08775651037301943,0.030923527058897025,0.030368019487171386,0.0005555075717256439,0.00017585233353980122
14.774,0.8755462129064921,0.0241547076141331,0.16359885295606616,0.7160483956526926,0.09272524518202915,0.02736671264974063,0.026743358816926868,0.0006233538328137684,0.00017151815217303053
15.024,0.871190635766702,0.022879085312759364,0.20746241067196253,0.6692532895244562,0.10012612663687931,0.022957789763614067,0.022272442351073393,0.0006853474125406669,0.00016183578296026448
15.274,0.8702548893938299,0.022141760513916215,0.24123140574730473,0.633231372794073,0.10553395250762129,0.019843367062811555,0.019132776516969322,0.0007105905458422389,0.0001495458397029174
15.524,0.8725278844551795,0.021639526657364294,0.253094245392577,0.6212971453878358,0.10670676413754335,0.0187139161801352,0.01800850084721811,0.0007054153329170917,0.00014322331688910382
15.774,0.8739853895081926,0.02098618309437043,0.2619228012247813,0.61351684774351,0.10649356647071011,0.017912465256887847,0.017185902114027513,0.0007265631428603367,0.0001362950682573036
16.024,0.8725240883286252,0.02014322061450572,0.2900436759691344,0.5864532151167828,0.1072462587616867,0.016136547231382744,0.01531430733035073,0.0008222399010320136,0.00011448717260129197
16.274,0.8686490718134242,0.019300870392491013,0.3330473256473797,0.5445375074162985,0.10811575548721843,0.014168409165817415,0.01318822268945967,0.0009801864763577407,9.261312618248597e-05
16.524,0.8654997402348292,0.018601789948153716,0.36915705350186523,0.5086964822239024,0.10886590086259607,0.01316911740796748,0.01206805287770817,0.0011010645302593114,8.276607393834038e-05
